"Note","Course","Module","Clip","Time in Clip","URL"
"React focuses on the rendering and event handling of client side UI components.","React Fundamentals","Introducing React","Introduction","0:33","https://app.pluralsight.com/player?course=react-fundamentals-update&author=liam-mclennan&name=211de11a-16ae-4cdb-95ac-9909a703d20f&clip=0&mode=live&start=33.049908&noteid=cafcb021-b653-4786-b640-9f83d0b3358f"
"React is an open source Javascript library for creating rich user interfaces that run in user's web browser. It focuses solely on rendering and event handling functionality.","React Fundamentals","Introducing React","What Is React?","0:04","https://app.pluralsight.com/player?course=react-fundamentals-update&author=liam-mclennan&name=211de11a-16ae-4cdb-95ac-9909a703d20f&clip=1&mode=live&start=4.152993&noteid=fd83714c-a501-41ce-b388-eb21f0f46d8f"
